Borough,Neighborhood,Number,Percent ,95% CL
Bronx,Fordham - Bronx Pk,33000,18.7,"(12.5, 27.2)"
Bronx,Kingsbridge - Riverdale,6000,8.4,"(4.0, 17.0)"
Bronx,Northeast Bronx,13000,8.9,"(4.7, 16.1)"
Bronx,Pelham - Throgs Neck,30000,14.4,"(8.4, 23.6)"
Bronx,South Bronx,43000,11.8,"(8.6, 15.8)"
Brooklyn,Bedford Stuyvesant - Crown Heights,22000,9.4,"(5.6, 15.6)"
Brooklyn,Bensonhurst - Bay Ridge,20000,13,"(5.8, 26.6)"
Brooklyn,Borough Park,23000,10.4,"(5.9, 17.6)"
Brooklyn,Canarsie - Flatlands,12000,8.2,"(4.6, 14.5)"
Brooklyn,Coney Island - Sheepshead Bay,22000,10,"(5.2, 18.6)"
Brooklyn,Downtown - Heights - Slope,13000,7.6,"(4.4, 13.1)"
Brooklyn,East Flatbush - Flatbush,26000,11.8,"(6.8, 19.7)"
Brooklyn,East New York,14000,10.9,"(6.0, 18.8)"
Brooklyn,Greenpoint,16000,16,"(8.9, 27.2)"
Brooklyn,Sunset Park,7000,7.6,"(3.1, 17.4)"
Brooklyn,Williamsburg - Bushwick,18000,12.2,"(7.2, 20.0)"
Manhattan,Central Harlem - Morningside Heights,10000,9.1,"(4.7, 17.0)"
Manhattan,Chelsea-Village,7000,3.5,"(1.6, 7.6)"
Manhattan,East Harlem,5000,7.0*,"(3.3, 14.1)"
Manhattan,Union Square-Lower Manhattan,12000,6.0*,"(2.9, 12.0)"
Manhattan,Upper East Side-Gramercy,18000,5.8,"(3.2, 10.2)"
Manhattan,Upper West Side,12000,6.9*,"(3.4, 13.5)"
Manhattan,Washington Heights,33000,17.2,"(10.3, 27.1)"
Queens,Bayside Little Neck-Fresh Meadows,NA,NA,NA
Queens,Flushing - Clearview,11000,5.4*,"(2.3, 12.1)"
Queens,Jamaica,25000,11.6,"(6.6, 19.6)"
Queens,Long Island,12000,6.9*,"(3.4, 13.7)"
Queens,Ridgewood - Forest Hills,13000,7.1*,"(3.5, 13.8)"
Queens,Rockaways,11000,13.9*,"(6.1, 28.8)"
Queens,Southeast Queens,14000,8.9*,"(4.6, 16.6)"
Queens,Southwest Queens,17000,8.6*,"(4.3, 16.5)"
Queens,West Queens,38000,10.8,"(6.9, 16.5)"
Staten Island,Northern SI,13000,9.5,"(5.4, 16.2)"
Staten Island,Southern SI,6000,3.0*,"(1.1, 7.5)"
